x;y
21,8;-52,476
21,9;-52,039
22;-51,6
22,1;-51,159
22,2;-50,716
22,3;-50,271
22,4;-49,824
22,5;-49,375
22,6;-48,924
22,7;-48,471
22,8;-48,016
22,9;-47,559
23;-47,1
23,1;-46,639
23,2;-46,176
23,3;-45,711
23,4;-45,244
23,5;-44,775
23,6;-44,304
23,7;-43,831
23,8;-43,356
23,9;-42,879
24;-42,4
24,1;-41,919
24,2;-41,436
24,3;-40,951
24,4;-40,464
24,5;-39,975
24,6;-39,484
24,7;-38,991
24,8;-38,496
24,9;-37,999
25;-37,5
25,1;-36,999
25,2;-36,496
25,3;-35,991
25,4;-35,484
25,5;-34,975
25,6;-34,464
25,7;-33,951
25,8;-33,436
25,9;-32,919
26;-32,4
26,1;-31,879
26,2;-31,356
26,3;-30,831
26,4;-30,304
26,5;-29,775
26,6;-29,244
26,7;-28,711
26,8;-28,176
26,9;-27,639
27;-27,1
27,1;-26,559
27,2;-26,016
27,3;-25,471
27,4;-24,924
27,5;-24,375
27,6;-23,824
27,7;-23,271
27,8;-22,716
27,9;-22,159
28;-21,6
28,1;-21,039
28,2;-20,476
28,3;-19,911
28,4;-19,344
28,5;-18,775
28,6;-18,204
28,7;-17,631
28,8;-17,056
28,9;-16,479
29;-15,9
29,1;-15,319
29,2;-14,736
29,3;-14,151
29,4;-13,564
29,5;-12,975
29,6;-12,384
29,7;-11,791
29,8;-11,196
29,9;-10,599
30;-10
30,1;-9,399
30,2;-8,796
30,3;-8,191
30,4;-7,584
30,5;-6,975
30,6;-6,364
30,7;-5,751
30,8;-5,136
30,9;-4,519
31;-3,9
31,1;-3,279
31,2;-2,656
31,3;-2,031
31,4;-1,404
31,5;-0,775
31,6;-0,144
31,7;0,489
31,8;1,124
31,9;1,761
32;2,4
32,1;3,041
32,2;3,684
32,3;4,329
32,4;4,976
32,5;5,625
32,6;6,276
32,7;6,929
32,8;7,584
32,9;8,241
33;8,9
33,1;9,561
33,2;10,224
34,7;20,409
34,8;21,104
34,9;21,801
35;22,5
35,1;23,201
35,2;23,904
35,3;24,609
35,4;25,316
35,5;26,025
35,6;26,736
35,7;27,449
35,8;28,164
35,9;28,881
36;29,6
36,1;30,321
36,2;31,044
37,5;40,625
37,6;41,376
37,7;42,129
37,8;42,884
37,9;43,641
38;44,4
38,1;45,161
38,2;45,924
38,3;46,689
38,4;47,456
38,5;48,225
38,6;48,996
38,7;49,769
38,8;50,544
38,9;51,321
39;52,1
39,1;52,881
39,6;56,816
39,7;57,609
39,8;58,404
39,9;59,201
40;60
40,1;60,801
40,2;61,604
40,3;62,409
40,4;63,216
40,5;64,025
40,6;64,836
40,7;65,649
40,8;66,464
40,9;67,281
41;68,1
41,1;68,921
41,2;69,744
41,3;70,569
41,4;71,396
41,5;72,225
41,6;73,056
41,7;73,889
41,8;74,724
41,9;75,561
42;76,4
42,1;77,241
42,2;78,084
42,3;78,929
42,4;79,776
42,5;80,625
42,6;81,476
42,7;82,329
42,8;83,184
42,9;84,041
43;84,9
43,1;85,761
43,2;86,624
43,3;87,489
43,4;88,356
43,5;89,225
43,6;90,096
43,7;90,969
43,8;91,844
43,9;92,721
44;93,6
44,1;94,481
44,2;95,364
44,3;96,249
44,4;97,136
44,5;98,025
44,6;98,916
44,7;99,809
44,8;100,704
44,9;101,601
45;102,5
45,1;103,401
45,2;104,304
45,3;105,209
45,4;106,116
45,5;107,025
45,6;107,936
45,7;108,849
45,8;109,764
45,9;110,681
46;111,6
46,1;112,521
46,2;113,444
46,3;114,369
46,4;115,296
46,5;116,225
46,6;117,156
46,7;118,089
46,8;119,024
46,9;119,961
47;120,9
47,1;121,841
47,2;122,784
47,3;123,729
47,4;124,676
47,5;125,625
47,6;126,576
47,7;127,529
47,8;128,484
47,9;129,441
48;130,4
48,1;131,361
48,2;132,324
48,3;133,289
